,name,pp,prediction,diff,sus
1947,/76561198016595753,732.902000,985.897644,252.995644,0
1498,/76561197967968043,1170.000000,1422.539307,252.539307,0
1894,/76561197969362079,774.948000,1027.224487,252.276487,0
1641,/76561198062003793,990.059000,1240.674561,250.615561,0
1176,/76561198035779909,1727.510000,1977.967163,250.457163,0
563,/76561198042004554,4161.500000,4411.283203,249.783203,0
878,/76561198951887042,2710.330000,2960.098633,249.768633,0
1986,/76561198281923095,712.479000,961.612000,249.133000,0
710,/76561198127236540,3400.610000,3649.446045,248.836045,0
1909,/76561198055867801,760.640000,1009.131042,248.491042,0
1990,/1432463690198675,711.461000,959.766357,248.305357,0
1994,/76561198056478055,709.045000,956.955322,247.910322,0
1918,/3633259676751993,754.234000,1001.955627,247.721627,0
1853,/76561198050749788,803.961000,1051.544922,247.583922,0
1173,/76561198081478495,1738.720000,1985.980835,247.260835,0
1799,/2438322642883871,842.109000,1088.439087,246.330087,0
672,/76561197968297434,3556.700000,3802.228760,245.528760,0
1619,/76561199094155606,1013.850000,1259.018555,245.168555,0
1831,/76561197987672270,820.194000,1064.644043,244.450043,0
1367,/76561198024090003,1350.800000,1594.788574,243.988574,0
25,/76561198858097212,12320.300000,12564.272461,243.972461,0
1995,/76561198037622805,709.034000,952.901245,243.867245,0
1465,/76561198803009544,1217.760000,1460.942383,243.182383,0
1152,/76561198207608265,1817.200000,2060.363525,243.163525,0
984,/76561199179644656,2300.580000,2543.672852,243.092852,0
1351,/76561198134075139,1371.320000,1613.726196,242.406196,0
1864,/76561198220763340,796.403000,1038.450073,242.047073,0
1951,/76561197994154881,731.556000,973.571167,242.015167,0
1687,/76561197977109346,935.337000,1177.267700,241.930700,0
1827,/76561197997619351,823.502000,1064.738037,241.236037,0
1919,/76561198011978400,753.329000,994.428162,241.099162,0
1524,/76561198046723269,1140.390000,1380.950684,240.560684,0
107,/76561198188485283,9481.400000,9718.305664,236.905664,0
1527,/76561198066667864,1126.580000,1363.215332,236.635332,0
1999,/76561198041481766,707.116000,943.592102,236.476102,0
994,/76561198130465198,2275.710000,2512.160889,236.450889,0
1950,/76561198972212781,731.615000,967.918701,236.303701,0
1800,/76561198015608829,841.414000,1077.536987,236.122987,0
303,/76561198306695625,6167.430000,6403.251953,235.821953,0
1246,/76561198396297840,1571.110000,1806.662476,235.552476,0
1975,/76561198186579823,715.797000,950.037537,234.240537,0
1996,/76561197984647657,708.721000,942.717957,233.996957,0
1998,/76561198042155235,707.464000,941.368103,233.904103,0
1963,/76561197997663954,724.372000,958.074585,233.702585,0
1888,/76561198287465552,781.136000,1014.467224,233.331224,0
1506,/76561198086545102,1162.680000,1395.057129,232.377129,0
1184,/76561198233430412,1700.840000,1933.156128,232.316128,0
1248,/76561197984037420,1570.490000,1802.438721,231.948721,0
1064,/76561197971555401,2058.580000,2290.187256,231.607256,0
1912,/76561198147094748,758.195000,989.575073,231.380073,0
1271,/76561198109624399,1523.160000,1754.131592,230.971592,0
413,/76561198026121646,5136.230000,5366.795898,230.565898,0
896,/76561198044980195,2632.310000,2861.791992,229.481992,0
262,/76561198400691470,6640.830000,6869.890625,229.060625,0
1370,/76561197986935599,1345.320000,1574.140381,228.820381,0
1988,/76561198161469964,711.797000,939.717957,227.920957,0
1954,/76561198002919372,730.809000,957.564697,226.755697,0
1545,/76561198039189315,1103.350000,1329.853882,226.503882,0
127,/2008454025858518,8940.730000,9166.386719,225.656719,0
620,/76561197966331968,3878.300000,4103.321289,225.021289,0
559,/76561198119422537,4175.820000,4400.417480,224.597480,0
1675,/76561197972988832,948.788000,1173.162354,224.374354,0
1360,/76561198061393662,1361.810000,1585.597290,223.787290,0
948,/76561198987019713,2408.760000,2632.377197,223.617197,0
1908,/76561198029568700,760.709000,984.237976,223.528976,0
176,/76561198089925542,7947.550000,8169.259766,221.709766,0
1956,/76561198042143240,729.522000,951.088440,221.566440,0
1985,/76561198158678100,713.581000,934.292175,220.711175,0
1957,/76561197985133736,729.521000,950.181335,220.660335,0
43,/5220426114649242,11483.100000,11703.042969,219.942969,0
